K,CH,SW
2,4230.1028,0.3678
3,5844.3918,0.4321
4,5323.0970,0.4028
5,5034.1340,0.3411
6,4918.0182,0.3553
7,4610.0403,0.3491
8,4256.3910,0.3045
9,4000.7606,0.2967
10,3806.8623,0.2804
11,3601.6220,0.2948
12,3427.9001,0.2830
13,3289.8728,0.2533
14,3141.9686,0.2509
15,3011.2486,0.2340
16,2890.3578,0.2130
17,2775.9257,0.2092
18,2680.9178,0.2185
19,2577.7361,0.2153
20,2501.1086,0.2108
21,2425.9864,0.2132
22,2363.9033,0.2155
23,2294.3222,0.2084
24,2229.4894,0.2086
25,2163.0707,0.2144
26,2116.4104,0.2170
27,2057.1888,0.1989
28,2016.7030,0.2151
29,1972.2557,0.1871
30,1937.0376,0.1841
31,1884.9741,0.2009
32,1851.6965,0.1864
33,1825.1607,0.1954
34,1779.5035,0.1879
35,1754.1974,0.1931
36,1722.9681,0.1862
37,1686.4514,0.1817
38,1662.7190,0.1675
39,1630.5898,0.1889
40,1603.3016,0.1681
41,1581.3320,0.1705
42,1560.8110,0.1653
43,1531.3839,0.1631
44,1499.9719,0.1626
45,1478.2446,0.1549
46,1464.1368,0.1615
47,1442.6839,0.1504
48,1420.6517,0.1624
49,1398.2549,0.1634
50,1380.6558,0.1639
51,1358.9059,0.1694
52,1343.3717,0.1614
53,1322.6563,0.1548
54,1308.7786,0.1637
55,1298.9215,0.1529
56,1278.2356,0.1582
57,1263.6422,0.1599

Best K (CH),3
Best K (SW),3
