K,CH,SW
2,4230.105999,0.367856
3,5844.391783,0.432119
4,5323.097049,0.402802
5,5034.046538,0.340252
6,4918.046995,0.355146
7,4609.850753,0.347584
8,4256.079433,0.304870
9,4001.547699,0.296740
10,3806.940034,0.280351
11,3603.246006,0.292032
12,3427.612723,0.283003
13,3290.438644,0.252007
14,3141.378885,0.249739
15,3011.196006,0.234374
16,2890.508563,0.213842
17,2777.912897,0.210969
18,2661.900954,0.229551
19,2592.315249,0.212627
20,2503.082647,0.212341
21,2431.841669,0.213019
22,2361.325816,0.215465
23,2287.853243,0.213867
24,2228.036659,0.210493
25,2171.359453,0.200193
26,2113.517891,0.209036
27,2064.481000,0.197277
28,2015.658806,0.201309
29,1971.827535,0.187405
30,1926.505985,0.199226
31,1890.074477,0.185261
32,1847.668250,0.175241
33,1813.799026,0.198025
34,1777.338260,0.185415
35,1751.921744,0.182677
36,1723.205506,0.170211
37,1703.234055,0.170816
38,1664.035318,0.174713
39,1639.413136,0.169323
40,1603.255903,0.167236
41,1595.147517,0.170719
42,1557.830117,0.162770
43,1524.640070,0.163984
44,1503.682483,0.165336
45,1485.090167,0.166820
46,1463.995284,0.162353
47,1435.277149,0.164056
48,1418.725412,0.163978
49,1413.944678,0.163895
50,1373.619990,0.157081
51,1374.837175,0.162202
52,1343.720567,0.156330
53,1320.709280,0.155057
54,1305.993547,0.158080
55,1287.043199,0.153553
56,1267.512103,0.165131
57,1273.140896,0.152664

Best K (CH),3
Best K (SW),3
