K,CH,SW
2,4748.0391,0.1751
3,3672.8601,0.1584
4,3193.5830,0.1386
5,2936.9214,0.1407
6,2725.1708,0.1476
7,2541.8313,0.1510
8,2407.6436,0.1528
9,2314.0074,0.1486
10,2207.8164,0.1520
11,2122.2061,0.1462
12,2055.0010,0.1504
13,1982.6434,0.1519
14,1911.0960,0.1520
15,1852.9842,0.1471
16,1794.8195,0.1414
17,1741.5715,0.1427
18,1698.7036,0.1413
19,1657.6945,0.1387
20,1616.1186,0.1389
21,1584.6974,0.1430
22,1551.9369,0.1454
23,1518.7763,0.1462
24,1485.6517,0.1475
25,1455.8625,0.1491
26,1431.9250,0.1486
27,1402.6163,0.1486
28,1385.9790,0.1541
29,1352.3680,0.1502
30,1335.0077,0.1529
31,1308.2785,0.1528
32,1290.1616,0.1535
33,1272.7150,0.1537
34,1252.9847,0.1565
35,1238.6529,0.1578
36,1218.9850,0.1533
37,1204.5218,0.1604
38,1188.7185,0.1550
39,1175.8860,0.1602
40,1162.2607,0.1589
41,1143.7121,0.1591
42,1138.4552,0.1625
43,1122.2361,0.1614
44,1109.3581,0.1609
45,1101.9643,0.1617
46,1085.2722,0.1575
47,1074.6174,0.1613
48,1067.6978,0.1626
49,1052.6585,0.1650
50,1044.2593,0.1642
51,1036.9026,0.1639
52,1026.0220,0.1622
53,1015.8050,0.1678
54,1007.9533,0.1653
55,999.2323,0.1632
56,993.2320,0.1674
57,981.4908,0.1663
58,974.3920,0.1685
59,964.5535,0.1660
60,960.0349,0.1664
61,950.0175,0.1650
62,943.2755,0.1664
63,935.6014,0.1687
64,925.6828,0.1663
65,918.6791,0.1721
66,917.2473,0.1691
67,906.8088,0.1710
68,901.6364,0.1680
69,894.0464,0.1690
70,886.9830,0.1699
71,881.0316,0.1706
72,876.5288,0.1697
73,867.3919,0.1700
74,860.9136,0.1732
75,857.6930,0.1708
76,853.3043,0.1755
77,852.0007,0.1764
78,840.4464,0.1768
79,840.8937,0.1754
80,829.5755,0.1721
81,827.2556,0.1752
82,826.8970,0.1758
83,812.5569,0.1753
84,809.3489,0.1773
85,813.0875,0.1824
86,798.5434,0.1773
87,798.3514,0.1757
88,792.4511,0.1773
89,795.7809,0.1785
90,783.4189,0.1733
91,780.9075,0.1788
92,773.9610,0.1764
93,773.2495,0.1772
94,769.0153,0.1764
95,763.7461,0.1778
96,763.8110,0.1792
97,755.2422,0.1768
98,753.8394,0.1776
99,752.9995,0.1769
100,742.3488,0.1788

Best K (CH),2
Best K (SW),85
