K,CH,SW
2,1783.5590,0.3892
3,1670.5321,0.3235
4,1843.7227,0.3832
5,1648.6278,0.3489
6,1500.2127,0.3348
7,1426.0971,0.3333
8,1328.0178,0.3404
9,1245.1619,0.3206
10,1190.7786,0.3301
11,1129.5834,0.3185
12,1107.5805,0.2859
13,1056.1630,0.2724
14,1010.4275,0.3116
15,993.7414,0.2697
16,987.8945,0.2915
17,924.5000,0.2792
18,902.5611,0.2697
19,909.8962,0.2876
20,866.2600,0.2801
21,841.2054,0.2854
22,818.0928,0.2909
23,803.4460,0.2805
24,825.3698,0.2997
25,788.4963,0.2986
26,764.9209,0.2891
27,826.8960,0.3104
28,722.1273,0.2975
29,725.9107,0.2959
30,704.7470,0.2818
31,695.5886,0.3003
32,680.7409,0.2942
33,664.4972,0.2701
34,637.2705,0.3051

Best K (CH),4
Best K (SW),2
