K,CH,SW
2,1796.582942,0.408399
3,1670.532109,0.323483
4,1843.722725,0.383185
5,1648.630931,0.348926
6,1500.209665,0.334776
7,1426.097067,0.333300
8,1328.008596,0.340421
9,1245.099051,0.320731
10,1169.489435,0.306392
11,1133.993624,0.313996
12,1088.728730,0.308842
13,1037.076609,0.253951
14,1059.491495,0.277960
15,1010.979259,0.279065
16,941.538532,0.275506
17,929.176457,0.275369
18,891.309222,0.274206
19,897.779823,0.278743
20,841.006345,0.272233
21,895.604251,0.277958
22,854.552187,0.298798
23,791.315937,0.294089
24,830.989543,0.282207
25,761.208617,0.267517
26,775.495364,0.293765
27,767.434463,0.298897
28,736.167160,0.278359
29,713.344407,0.304035
30,742.244136,0.270438
31,697.934833,0.303266
32,717.850206,0.271533
33,674.480079,0.290233
34,658.130916,0.300111

Best K (CH),4
Best K (SW),2
