K,CH,SW
2,386.4634,0.2468
3,328.8926,0.2441
4,311.2283,0.2499
5,303.6239,0.1930
6,295.2635,0.2050
7,316.5073,0.1966
8,326.9272,0.2149
9,309.0700,0.1934
10,295.2813,0.1857
11,284.1013,0.1864
12,271.3248,0.1808
13,261.7688,0.1682
14,252.2158,0.1706
15,244.5505,0.1609
16,239.5573,0.1781
17,231.0054,0.1660
18,225.8760,0.1695
19,219.5524,0.1571
20,213.7306,0.1605
21,208.4898,0.1598
22,203.7322,0.1514
23,200.2534,0.1538
24,195.7970,0.1488
25,191.3926,0.1593
26,186.9733,0.1549
27,184.3248,0.1548

Best K (CH),2
Best K (SW),4
