K,CH,SW
2,386.463420,0.246815
3,328.887956,0.243957
4,311.242756,0.250278
5,312.482722,0.260864
6,323.320526,0.203290
7,327.355312,0.212762
8,326.924734,0.214796
9,309.051761,0.194882
10,295.470639,0.185876
11,284.066233,0.185539
12,271.159879,0.171202
13,261.880568,0.169655
14,252.518992,0.159358
15,243.445695,0.173167
16,238.032214,0.164105
17,230.947598,0.156187
18,225.208501,0.159327
19,219.892175,0.156152
20,212.234485,0.152258
21,209.035347,0.153151
22,203.927534,0.153546
23,199.371466,0.155372
24,195.854963,0.152364
25,193.476093,0.154351
26,187.643732,0.151591
27,183.105390,0.157590

Best K (CH),2
Best K (SW),5
