Dataset,Normalization Method,Initialization Method,Best Initial SSE,Best Final SSE,Best Iterations
ecoli,Min-Max,Random Selection,27.8248,17.4056,6
ecoli,Min-Max,Random Partition,53.3656,17.4056,6
glass,Min-Max,Random Selection,26.6336,18.3422,5
glass,Min-Max,Random Partition,42.7101,18.3437,4
ionosphere,Min-Max,Random Selection,688.523,628.896,4
ionosphere,Min-Max,Random Partition,762.5322,628.896,3
iris_bezdek,Min-Max,Random Selection,9.2249,6.9822,2
iris_bezdek,Min-Max,Random Partition,23.8733,6.9822,4
landsat,Min-Max,Random Selection,2788.9397,1741.6121,7
landsat,Min-Max,Random Partition,7823.4766,1741.6091,7
letter_recognition,Min-Max,Random Selection,4188.7333,2724.8931,20
letter_recognition,Min-Max,Random Partition,7132.9537,2723.3807,19
segmentation,Min-Max,Random Selection,615.2538,386.976,6
segmentation,Min-Max,Random Partition,1601.0737,386.9751,6
vehicle,Min-Max,Random Selection,320.935,223.4968,6
vehicle,Min-Max,Random Partition,498.9601,223.496,5
wine,Min-Max,Random Selection,71.151,48.954,3
wine,Min-Max,Random Partition,77.3294,48.954,3
yeast,Min-Max,Random Selection,92.7236,58.3033,10
yeast,Min-Max,Random Partition,141.7117,58.31,10
