Dataset,Normalization Method,Initialization Method,Best Initial SSE,Best Final SSE,Best Iterations
ecoli,Min-Max,Random Selection,25.5002,17.4276,7
ecoli,Min-Max,Random Partition,53.7641,17.4228,6
glass,Min-Max,Random Selection,26.7296,18.2412,4
glass,Min-Max,Random Partition,39.2346,18.3422,5
ionosphere,Min-Max,Random Selection,726.931,628.896,2
ionosphere,Min-Max,Random Partition,769.094,628.896,3
iris_bezdek,Min-Max,Random Selection,9.5577,6.9822,3
iris_bezdek,Min-Max,Random Partition,26.5738,6.9822,3
landsat,Min-Max,Random Selection,2643.6464,1741.6231,7
landsat,Min-Max,Random Partition,7765.8041,1741.6188,6
letter_recognition,Min-Max,Random Selection,4173.36,2720.3359,19
letter_recognition,Min-Max,Random Partition,7135.1658,2717.0891,18
segmentation,Min-Max,Random Selection,552.2468,386.9751,6
segmentation,Min-Max,Random Partition,1595.7622,386.9751,8
vehicle,Min-Max,Random Selection,306.1706,223.4941,6
vehicle,Min-Max,Random Partition,491.9235,223.4941,6
wine,Min-Max,Random Selection,76.5875,48.954,3
wine,Min-Max,Random Partition,78.9447,48.954,3
yeast,Min-Max,Random Selection,88.2497,58.2808,10
yeast,Min-Max,Random Partition,144.8333,58.323,9
