Run,Rand,Jaccard
1,0.8070,0.3717
2,0.8806,0.6237
3,0.7921,0.3500
4,0.8064,0.4088
5,0.7823,0.3139
6,0.7979,0.3467
7,0.7795,0.3010
8,0.7789,0.3006
9,0.8277,0.4265
10,0.8033,0.3546
11,0.7913,0.3294
12,0.7745,0.3022
13,0.7985,0.3492
14,0.8021,0.3526
15,0.7754,0.2906
16,0.7800,0.3004
17,0.7808,0.3052
18,0.7879,0.3315
19,0.8044,0.3720
20,0.7689,0.2839
21,0.8079,0.3800
22,0.8187,0.4154
23,0.7902,0.3710
24,0.7978,0.3458
25,0.7705,0.2709
26,0.7662,0.2762
27,0.8124,0.4020
28,0.8216,0.4159
29,0.7892,0.3236
30,0.7711,0.2920
31,0.7936,0.3347
32,0.7819,0.3194
33,0.7944,0.3502
34,0.8269,0.4434
35,0.7891,0.3224
36,0.7791,0.3048
37,0.8046,0.3604
38,0.7886,0.3240
39,0.7738,0.2902
40,0.8127,0.4096
41,0.8056,0.3700
42,0.7837,0.3067
43,0.8203,0.4089
44,0.7983,0.3519
45,0.8188,0.4058
46,0.7924,0.3309
47,0.7784,0.3082
48,0.8055,0.3614
49,0.7988,0.3495
50,0.7750,0.3012
51,0.8247,0.4397
52,0.8122,0.3871
53,0.8337,0.4503
54,0.8124,0.3894
55,0.8153,0.4170
56,0.8050,0.3653
57,0.7951,0.3470
58,0.8252,0.4213
59,0.8034,0.3543
60,0.8076,0.3799
61,0.8034,0.3567
62,0.8356,0.4551
63,0.7940,0.3475
64,0.8051,0.3587
65,0.7879,0.3195
66,0.7742,0.2956
67,0.7634,0.2675
68,0.7793,0.3099
69,0.8806,0.6180
70,0.7798,0.3053
71,0.7944,0.3366
72,0.7780,0.2946
73,0.8104,0.3991
74,0.8085,0.4114
75,0.7941,0.3479
76,0.8178,0.4202
77,0.8031,0.3626
78,0.7991,0.3654
79,0.8231,0.4212
80,0.8260,0.4248
81,0.7993,0.3567
82,0.7900,0.3377
83,0.7800,0.3034
84,0.8092,0.3931
85,0.8256,0.4270
86,0.7763,0.2934
87,0.7800,0.3068
88,0.7781,0.2983
89,0.7867,0.3190
90,0.8553,0.5267
91,0.8229,0.4234
92,0.7978,0.3538
93,0.7953,0.3641
94,0.8267,0.4434
95,0.7983,0.3469
96,0.8113,0.3922
97,0.7945,0.3403
98,0.7929,0.3332
99,0.7733,0.2913
100,0.8111,0.3936

Best Rand,0.8806
Best Jaccard,0.6237
