Run,Rand,Jaccard
1,0.7214,0.4849
2,0.8737,0.6823
3,0.8679,0.6657
4,0.8679,0.6657
5,0.8737,0.6823
6,0.7233,0.4880
7,0.8679,0.6657
8,0.7233,0.4880
9,0.8737,0.6823
10,0.8679,0.6657
11,0.8737,0.6823
12,0.8737,0.6823
13,0.8679,0.6657
14,0.8737,0.6823
15,0.8737,0.6823
16,0.8737,0.6823
17,0.8737,0.6823
18,0.8679,0.6657
19,0.7222,0.4802
20,0.8679,0.6657
21,0.8679,0.6657
22,0.8737,0.6823
23,0.7214,0.4849
24,0.8737,0.6823
25,0.8679,0.6657
26,0.7214,0.4849
27,0.8679,0.6657
28,0.7214,0.4849
29,0.8737,0.6823
30,0.7214,0.4849
31,0.8737,0.6823
32,0.7214,0.4849
33,0.8737,0.6823
34,0.7214,0.4849
35,0.8737,0.6823
36,0.8737,0.6823
37,0.8737,0.6779
38,0.8737,0.6823
39,0.7233,0.4880
40,0.8737,0.6823
41,0.8679,0.6657
42,0.8737,0.6823
43,0.8679,0.6657
44,0.7214,0.4849
45,0.8679,0.6657
46,0.8679,0.6657
47,0.7214,0.4849
48,0.8737,0.6823
49,0.7214,0.4849
50,0.8737,0.6823
51,0.8737,0.6823
52,0.7214,0.4849
53,0.8737,0.6823
54,0.8679,0.6657
55,0.8679,0.6657
56,0.8737,0.6823
57,0.8737,0.6823
58,0.7214,0.4849
59,0.8679,0.6657
60,0.8737,0.6823
61,0.8737,0.6823
62,0.8737,0.6823
63,0.7233,0.4880
64,0.8737,0.6823
65,0.8737,0.6823
66,0.7214,0.4849
67,0.7233,0.4880
68,0.8737,0.6823
69,0.8737,0.6823
70,0.8737,0.6823
71,0.8737,0.6823
72,0.8737,0.6823
73,0.8737,0.6779
74,0.7214,0.4849
75,0.8737,0.6823
76,0.8737,0.6823
77,0.8737,0.6823
78,0.7214,0.4849
79,0.8679,0.6657
80,0.7214,0.4849
81,0.8679,0.6657
82,0.7233,0.4880
83,0.8737,0.6823
84,0.7214,0.4849
85,0.8737,0.6823
86,0.8679,0.6657
87,0.8737,0.6823
88,0.8737,0.6823
89,0.7214,0.4849
90,0.8737,0.6823
91,0.8737,0.6823
92,0.8679,0.6657
93,0.8679,0.6657
94,0.8679,0.6657
95,0.8737,0.6823
96,0.8679,0.6657
97,0.8679,0.6657
98,0.8679,0.6657
99,0.8679,0.6657
100,0.8679,0.6657

Best Rand,0.8737
Best Jaccard,0.6823
