Run,Rand,Jaccard
1,0.8572,0.4440
2,0.8576,0.4445
3,0.8577,0.4452
4,0.8574,0.4445
5,0.8570,0.4427
6,0.8574,0.4445
7,0.8575,0.4441
8,0.8573,0.4442
9,0.8575,0.4442
10,0.8576,0.4444
11,0.8572,0.4433
12,0.8574,0.4437
13,0.8573,0.4434
14,0.8573,0.4441
15,0.8575,0.4448
16,0.8572,0.4441
17,0.8576,0.4452
18,0.8575,0.4440
19,0.8572,0.4440
20,0.8573,0.4442
21,0.8577,0.4453
22,0.8451,0.4645
23,0.8570,0.4427
24,0.8576,0.4451
25,0.8577,0.4450
26,0.8573,0.4443
27,0.8575,0.4449
28,0.8575,0.4448
29,0.8571,0.4436
30,0.8576,0.4451
31,0.8572,0.4433
32,0.8573,0.4434
33,0.8577,0.4453
34,0.8574,0.4436
35,0.8573,0.4444
36,0.8575,0.4445
37,0.8573,0.4435
38,0.8572,0.4440
39,0.8572,0.4440
40,0.8574,0.4445
41,0.8573,0.4444
42,0.8573,0.4441
43,0.8573,0.4435
44,0.8576,0.4451
45,0.8575,0.4448
46,0.8572,0.4439
47,0.8575,0.4439
48,0.8574,0.4445
49,0.8572,0.4440
50,0.8572,0.4434
51,0.8577,0.4453
52,0.8573,0.4435
53,0.8574,0.4445
54,0.8575,0.4439
55,0.8574,0.4439
56,0.8573,0.4434
57,0.8574,0.4445
58,0.8575,0.4448
59,0.8576,0.4452
60,0.8573,0.4443
61,0.8633,0.5031
62,0.8572,0.4440
63,0.8573,0.4437
64,0.8573,0.4435
65,0.8575,0.4449
66,0.8575,0.4441
67,0.8573,0.4442
68,0.8384,0.3884
69,0.8580,0.4455
70,0.8575,0.4448
71,0.8571,0.4437
72,0.8574,0.4445
73,0.8575,0.4441
74,0.8572,0.4431
75,0.8575,0.4448
76,0.8572,0.4431
77,0.8575,0.4449
78,0.8572,0.4439
79,0.8571,0.4433
80,0.8573,0.4443
81,0.8576,0.4451
82,0.8574,0.4445
83,0.8571,0.4433
84,0.8575,0.4449
85,0.8572,0.4440
86,0.8573,0.4435
87,0.8573,0.4444
88,0.8576,0.4450
89,0.8576,0.4452
90,0.8573,0.4442
91,0.8576,0.4451
92,0.8571,0.4437
93,0.8573,0.4435
94,0.8576,0.4451
95,0.8576,0.4450
96,0.8572,0.4440
97,0.8575,0.4440
98,0.8575,0.4448
99,0.8574,0.4445
100,0.8573,0.4434

Best Rand,0.8633
Best Jaccard,0.5031
