Run,Rand,Jaccard
1,0.9309,0.0910
2,0.9299,0.0863
3,0.9288,0.0916
4,0.9314,0.0903
5,0.9316,0.0935
6,0.9319,0.0907
7,0.9316,0.0933
8,0.9279,0.0884
9,0.9319,0.0900
10,0.9323,0.0968
11,0.9322,0.0921
12,0.9317,0.0917
13,0.9313,0.0863
14,0.9303,0.0887
15,0.9327,0.0929
16,0.9321,0.0946
17,0.9291,0.0897
18,0.9313,0.0977
19,0.9306,0.0886
20,0.9310,0.0954
21,0.9318,0.0933
22,0.9315,0.0890
23,0.9297,0.0905
24,0.9316,0.0912
25,0.9284,0.0877
26,0.9330,0.0943
27,0.9296,0.0882
28,0.9301,0.0889
29,0.9326,0.0947
30,0.9290,0.0903
31,0.9323,0.0889
32,0.9304,0.0941
33,0.9320,0.0932
34,0.9305,0.0895
35,0.9320,0.0958
36,0.9313,0.0916
37,0.9262,0.0823
38,0.9314,0.0913
39,0.9318,0.0902
40,0.9313,0.0872
41,0.9301,0.0893
42,0.9336,0.0926
43,0.9335,0.0958
44,0.9313,0.0935
45,0.9321,0.0910
46,0.9314,0.0892
47,0.9337,0.0937
48,0.9301,0.0956
49,0.9302,0.0941
50,0.9263,0.0871
51,0.9301,0.0899
52,0.9298,0.0895
53,0.9328,0.0914
54,0.9319,0.0885
55,0.9272,0.0884
56,0.9309,0.0910
57,0.9315,0.0959
58,0.9300,0.0902
59,0.9301,0.0877
60,0.9309,0.0977
61,0.9283,0.0904
62,0.9326,0.0901
63,0.9284,0.0903
64,0.9313,0.0880
65,0.9317,0.0951
66,0.9332,0.0964
67,0.9305,0.0922
68,0.9325,0.0950
69,0.9297,0.0891
70,0.9342,0.0937
71,0.9307,0.0896
72,0.9291,0.0873
73,0.9293,0.0914
74,0.9318,0.0878
75,0.9331,0.0927
76,0.9306,0.0931
77,0.9292,0.0877
78,0.9324,0.0906
79,0.9298,0.0850
80,0.9326,0.0949
81,0.9308,0.0891
82,0.9306,0.0884
83,0.9307,0.0927
84,0.9324,0.0874
85,0.9312,0.0904
86,0.9302,0.0877
87,0.9308,0.0909
88,0.9307,0.0846
89,0.9295,0.0879
90,0.9332,0.0913
91,0.9318,0.0902
92,0.9283,0.0911
93,0.9314,0.0909
94,0.9299,0.0916
95,0.9314,0.0936
96,0.9323,0.0911
97,0.9313,0.0911
98,0.9308,0.0889
99,0.9326,0.0964
100,0.9312,0.0903

Best Rand,0.9342
Best Jaccard,0.0977
