Run,Rand,Jaccard
1,0.8903,0.3158
2,0.8952,0.3443
3,0.8935,0.3201
4,0.8896,0.3140
5,0.8893,0.3190
6,0.8718,0.2847
7,0.8821,0.2966
8,0.8992,0.3367
9,0.8936,0.3364
10,0.8684,0.2678
11,0.8882,0.3150
12,0.8858,0.2861
13,0.8931,0.3361
14,0.8791,0.2785
15,0.8809,0.3058
16,0.8945,0.3295
17,0.8878,0.3127
18,0.8904,0.3159
19,0.8990,0.3395
20,0.8962,0.3285
21,0.8836,0.3014
22,0.8843,0.2906
23,0.9041,0.3551
24,0.8947,0.3269
25,0.8793,0.2829
26,0.8857,0.3189
27,0.8790,0.2816
28,0.8576,0.2254
29,0.8832,0.3031
30,0.8969,0.3458
31,0.8892,0.3205
32,0.8777,0.2775
33,0.9006,0.3596
34,0.8886,0.3285
35,0.8785,0.2994
36,0.8954,0.3228
37,0.8809,0.2941
38,0.8858,0.3065
39,0.8933,0.3218
40,0.8956,0.3247
41,0.8794,0.2721
42,0.8806,0.2935
43,0.8840,0.3072
44,0.8950,0.3248
45,0.8990,0.3388
46,0.8754,0.2733
47,0.8935,0.3209
48,0.8766,0.2724
49,0.8780,0.2813
50,0.8785,0.2884
51,0.8901,0.3214
52,0.9020,0.3578
53,0.8801,0.2897
54,0.8973,0.3419
55,0.8950,0.3220
56,0.9011,0.3614
57,0.8749,0.2715
58,0.8885,0.3051
59,0.9000,0.3553
60,0.8858,0.3051
61,0.8662,0.2445
62,0.8784,0.2696
63,0.8931,0.3124
64,0.8814,0.3090
65,0.8866,0.3140
66,0.8866,0.3063
67,0.8935,0.3189
68,0.9053,0.3595
69,0.8830,0.3088
70,0.8830,0.3045
71,0.8784,0.2907
72,0.8951,0.3196
73,0.8942,0.3180
74,0.8861,0.3031
75,0.8948,0.3426
76,0.8908,0.3264
77,0.8815,0.2929
78,0.8861,0.3089
79,0.8957,0.3371
80,0.8867,0.2920
81,0.8920,0.3191
82,0.8945,0.3251
83,0.8813,0.3134
84,0.8796,0.2713
85,0.8784,0.2865
86,0.8703,0.2741
87,0.8837,0.2996
88,0.8871,0.3134
89,0.8781,0.2834
90,0.8956,0.3451
91,0.8937,0.3214
92,0.8782,0.2927
93,0.8897,0.3019
94,0.9003,0.3516
95,0.8722,0.2698
96,0.8767,0.2741
97,0.8894,0.3054
98,0.8903,0.3172
99,0.8827,0.2922
100,0.8916,0.3139

Best Rand,0.9053
Best Jaccard,0.3614
