Run,Rand,Jaccard
1,0.9311,0.5025
2,0.9365,0.5262
3,0.8903,0.3683
4,0.9094,0.4156
5,0.9382,0.5462
6,0.9268,0.4887
7,0.9145,0.4248
8,0.9326,0.5039
9,0.9285,0.5012
10,0.9429,0.5625
11,0.9403,0.5470
12,0.9364,0.5378
13,0.9415,0.5538
14,0.9176,0.4530
15,0.9214,0.4728
16,0.9109,0.4085
17,0.9382,0.5342
18,0.9556,0.6381
19,0.9215,0.4736
20,0.9340,0.5097
21,0.9176,0.4527
22,0.9226,0.4607
23,0.9403,0.5479
24,0.9474,0.5867
25,0.9350,0.5283
26,0.9392,0.5395
27,0.9181,0.4511
28,0.9274,0.4958
29,0.9346,0.5226
30,0.9227,0.4658
31,0.9182,0.4556
32,0.9143,0.4333
33,0.9165,0.4448
34,0.9230,0.4783
35,0.9397,0.5406
36,0.9382,0.5482
37,0.9233,0.4728
38,0.9072,0.4111
39,0.9180,0.4490
40,0.9154,0.4464
41,0.9188,0.4609
42,0.9234,0.4800
43,0.9572,0.6498
44,0.9171,0.4533
45,0.8987,0.3935
46,0.9189,0.4408
47,0.8913,0.3632
48,0.9098,0.4182
49,0.9458,0.5763
50,0.9137,0.4346
51,0.9145,0.4424
52,0.9131,0.4388
53,0.9142,0.4360
54,0.9277,0.4915
55,0.9137,0.4384
56,0.9394,0.5366
57,0.9140,0.4353
58,0.9170,0.4446
59,0.9196,0.4558
60,0.9237,0.4770
61,0.9218,0.4571
62,0.9246,0.4743
63,0.9382,0.5467
64,0.9395,0.5389
65,0.9377,0.5311
66,0.9362,0.5192
67,0.9170,0.4391
68,0.9134,0.4403
69,0.9340,0.5101
70,0.9567,0.6461
71,0.9156,0.4443
72,0.9112,0.4262
73,0.9158,0.4374
74,0.9208,0.4710
75,0.9421,0.5585
76,0.9104,0.4107
77,0.9187,0.4579
78,0.9160,0.4457
79,0.9212,0.4703
80,0.9237,0.4721
81,0.9191,0.4568
82,0.9414,0.5536
83,0.9357,0.5163
84,0.9399,0.5449
85,0.8912,0.3683
86,0.9265,0.4779
87,0.8991,0.3877
88,0.9312,0.5004
89,0.9372,0.5415
90,0.9393,0.5407
91,0.9178,0.4537
92,0.9358,0.5195
93,0.9360,0.5263
94,0.9174,0.4522
95,0.9236,0.4643
96,0.9108,0.4110
97,0.9287,0.4918
98,0.9370,0.5313
99,0.9363,0.5374
100,0.9137,0.4391

Best Rand,0.9572
Best Jaccard,0.6498
