Run,Rand,Jaccard
1,1.0000,1.0000
2,1.0000,1.0000
3,1.0000,1.0000
4,1.0000,1.0000
5,1.0000,1.0000
6,0.8450,0.5630
7,1.0000,1.0000
8,0.8450,0.5630
9,1.0000,1.0000
10,1.0000,1.0000
11,1.0000,1.0000
12,0.8677,0.6224
13,0.8703,0.6341
14,0.8411,0.5898
15,1.0000,1.0000
16,1.0000,1.0000
17,1.0000,1.0000
18,1.0000,1.0000
19,1.0000,1.0000
20,0.8432,0.5953
21,1.0000,1.0000
22,1.0000,1.0000
23,1.0000,1.0000
24,1.0000,1.0000
25,1.0000,1.0000
26,0.8411,0.5898
27,0.8450,0.5630
28,0.8234,0.5442
29,1.0000,1.0000
30,1.0000,1.0000
31,1.0000,1.0000
32,1.0000,1.0000
33,0.8732,0.6423
34,1.0000,1.0000
35,0.8389,0.5842
36,1.0000,1.0000
37,1.0000,1.0000
38,1.0000,1.0000
39,0.8396,0.5860
40,1.0000,1.0000
41,1.0000,1.0000
42,0.8681,0.6280
43,0.8681,0.6280
44,1.0000,1.0000
45,0.8389,0.5842
46,1.0000,1.0000
47,1.0000,1.0000
48,0.8162,0.5542
49,1.0000,1.0000
50,0.8231,0.5433
51,0.8667,0.6240
52,1.0000,1.0000
53,1.0000,1.0000
54,0.8389,0.5842
55,1.0000,1.0000
56,0.8667,0.6240
57,1.0000,1.0000
58,1.0000,1.0000
59,1.0000,1.0000
60,0.8450,0.5630
61,1.0000,1.0000
62,0.8245,0.5470
63,0.8231,0.5433
64,0.8450,0.5630
65,0.8234,0.5442
66,0.8732,0.6423
67,1.0000,1.0000
68,1.0000,1.0000
69,1.0000,1.0000
70,1.0000,1.0000
71,0.8681,0.6280
72,1.0000,1.0000
73,1.0000,1.0000
74,1.0000,1.0000
75,1.0000,1.0000
76,1.0000,1.0000
77,0.8411,0.5898
78,0.8681,0.6280
79,1.0000,1.0000
80,1.0000,1.0000
81,1.0000,1.0000
82,0.8450,0.5630
83,1.0000,1.0000
84,0.8231,0.5433
85,1.0000,1.0000
86,0.8703,0.6341
87,1.0000,1.0000
88,1.0000,1.0000
89,1.0000,1.0000
90,1.0000,1.0000
91,1.0000,1.0000
92,0.8411,0.5898
93,1.0000,1.0000
94,1.0000,1.0000
95,1.0000,1.0000
96,1.0000,1.0000
97,1.0000,1.0000
98,0.8443,0.5610
99,1.0000,1.0000
100,1.0000,1.0000

Best Rand,1.0000
Best Jaccard,1.0000
