Run,Rand,Jaccard
1,0.9318,0.8155
2,0.9349,0.8224
3,0.9349,0.8224
4,0.9274,0.8040
5,0.9274,0.8040
6,0.9318,0.8155
7,0.9474,0.8545
8,0.9274,0.8040
9,0.9467,0.8527
10,0.9120,0.7677
11,0.9318,0.8155
12,0.9274,0.8040
13,0.9274,0.8040
14,0.6865,0.4505
15,0.9318,0.8155
16,0.9274,0.8040
17,0.9274,0.8040
18,0.9274,0.8040
19,0.9349,0.8224
20,0.9274,0.8040
21,0.9318,0.8155
22,0.9318,0.8155
23,0.9349,0.8224
24,0.9274,0.8040
25,0.9318,0.8155
26,0.9349,0.8224
27,0.9318,0.8155
28,0.9318,0.8155
29,0.9318,0.8155
30,0.9274,0.8040
31,0.9339,0.8202
32,0.9415,0.8391
33,0.9318,0.8155
34,0.9318,0.8155
35,0.9318,0.8155
36,0.9318,0.8155
37,0.9318,0.8155
38,0.9349,0.8224
39,0.9551,0.8743
40,0.9251,0.7990
41,0.9349,0.8224
42,0.9318,0.8155
43,0.9318,0.8155
44,0.9349,0.8224
45,0.9318,0.8155
46,0.9120,0.7677
47,0.9349,0.8224
48,0.9274,0.8040
49,0.9318,0.8155
50,0.9274,0.8040
51,0.6726,0.4223
52,0.9318,0.8155
53,0.9274,0.8040
54,0.9318,0.8155
55,0.9318,0.8155
56,0.9265,0.8020
57,0.9349,0.8224
58,0.9318,0.8155
59,0.9251,0.7990
60,0.9318,0.8155
61,0.9551,0.8743
62,0.9318,0.8155
63,0.9318,0.8155
64,0.9318,0.8155
65,0.9120,0.7677
66,0.9274,0.8040
67,0.9274,0.8040
68,0.9543,0.8725
69,0.9274,0.8040
70,0.9274,0.8040
71,0.9265,0.8020
72,0.9274,0.8040
73,0.9318,0.8155
74,0.9349,0.8224
75,0.9318,0.8155
76,0.9349,0.8224
77,0.9349,0.8224
78,0.9318,0.8155
79,0.9120,0.7677
80,0.9318,0.8155
81,0.9318,0.8155
82,0.9274,0.8040
83,0.9415,0.8391
84,0.9274,0.8040
85,0.9318,0.8155
86,0.9318,0.8155
87,0.9318,0.8155
88,0.9318,0.8155
89,0.9543,0.8725
90,0.9274,0.8040
91,0.9274,0.8040
92,0.9349,0.8224
93,0.9274,0.8040
94,0.9274,0.8040
95,0.9551,0.8743
96,0.9318,0.8155
97,0.9274,0.8040
98,0.9274,0.8040
99,0.9274,0.8040
100,0.9274,0.8040

Best Rand,0.9551
Best Jaccard,0.8743
