Run,Rand,Jaccard
1,0.7464,0.1724
2,0.7485,0.1828
3,0.7502,0.1527
4,0.7451,0.1780
5,0.7507,0.1521
6,0.7502,0.1588
7,0.7537,0.1511
8,0.7490,0.1831
9,0.7496,0.1529
10,0.7477,0.1746
11,0.7539,0.1617
12,0.7467,0.1679
13,0.7482,0.1523
14,0.7534,0.1526
15,0.7472,0.1663
16,0.7458,0.1659
17,0.7500,0.1688
18,0.7514,0.1696
19,0.7478,0.1677
20,0.7524,0.1582
21,0.7438,0.1662
22,0.7246,0.1677
23,0.7489,0.1699
24,0.7528,0.1664
25,0.7526,0.1652
26,0.7493,0.1526
27,0.7490,0.1554
28,0.7522,0.1492
29,0.7484,0.1718
30,0.7520,0.1593
31,0.7460,0.1670
32,0.7493,0.1641
33,0.7484,0.1829
34,0.7306,0.1612
35,0.7496,0.1895
36,0.7496,0.1705
37,0.7455,0.1722
38,0.7504,0.1529
39,0.7485,0.1903
40,0.7528,0.1644
41,0.7493,0.1502
42,0.7506,0.1709
43,0.7452,0.1641
44,0.7504,0.1700
45,0.7463,0.1679
46,0.7497,0.1721
47,0.7459,0.1846
48,0.7496,0.1707
49,0.7535,0.1556
50,0.7451,0.1872
51,0.7489,0.1540
52,0.7438,0.1649
53,0.7534,0.1640
54,0.7535,0.1599
55,0.7487,0.1676
56,0.7483,0.1518
57,0.7449,0.1789
58,0.7490,0.1522
59,0.7446,0.1727
60,0.7468,0.1693
61,0.7489,0.1664
62,0.7497,0.1715
63,0.7440,0.1806
64,0.7494,0.1692
65,0.7511,0.1569
66,0.7429,0.1536
67,0.7481,0.1686
68,0.7421,0.1843
69,0.7463,0.1550
70,0.7471,0.1729
71,0.7498,0.1634
72,0.7451,0.1744
73,0.7478,0.1713
74,0.7503,0.1726
75,0.7459,0.1662
76,0.7511,0.1721
77,0.7434,0.1836
78,0.7476,0.1548
79,0.7478,0.1627
80,0.7500,0.1754
81,0.7504,0.1630
82,0.7475,0.1590
83,0.7511,0.1654
84,0.7505,0.1469
85,0.7453,0.1636
86,0.7533,0.1689
87,0.7469,0.1789
88,0.7438,0.1690
89,0.7511,0.1663
90,0.7513,0.1644
91,0.7487,0.1577
92,0.7474,0.1624
93,0.7468,0.1790
94,0.7474,0.1734
95,0.7505,0.1613
96,0.7485,0.1703
97,0.7529,0.1621
98,0.7439,0.1591
99,0.7468,0.1570
100,0.7522,0.1752

Best Rand,0.7539
Best Jaccard,0.1903
